Transaction_ID,Customer_ID,Transaction_Date,Product_Category,Transaction_Amount,Payment_Mode,Region
5001,2049,2024-01-01,Books,917,Card,North
5002,2042,2024-01-02,Electronics,2982,Card,West
5003,2006,2024-01-03,Electronics,3777,UPI,East
5004,2015,2024-01-04,Electronics,343,UPI,East
5005,2043,2024-01-05,Home,3340,NetBanking,East
5006,2037,2024-01-06,Home,4691,Card,East
5007,2033,2024-01-07,Electronics,3138,NetBanking,North
5008,2008,2024-01-08,Books,3836,UPI,North
5009,2044,2024-01-09,Home,3422,UPI,South
5010,2044,2024-01-10,Electronics,1367,UPI,South
5011,2005,2024-01-11,Electronics,2816,UPI,East
5012,2039,2024-01-12,Books,1262,UPI,East
5013,2004,2024-01-13,Clothing,2356,UPI,East
5014,2006,2024-01-14,Home,3182,UPI,South
5015,2045,2024-01-15,Books,3494,Card,West
5016,2032,2024-01-16,Electronics,4929,NetBanking,West
5017,2030,2024-01-17,Electronics,1356,UPI,South
5018,2047,2024-01-18,Books,932,Card,South
5019,2035,2024-01-19,Home,4530,Card,South
5020,2040,2024-01-20,Clothing,1153,NetBanking,South
5021,2016,2024-01-21,Clothing,2739,UPI,South
5022,2013,2024-01-22,Electronics,3524,NetBanking,South
5023,2042,2024-01-23,Home,3501,UPI,East
5024,2030,2024-01-24,Clothing,1742,Card,East
5025,2019,2024-01-25,Home,1391,Card,East
5026,2017,2024-01-26,Home,3193,Card,East
5027,2019,2024-01-27,Electronics,2881,Card,South
5028,2028,2024-01-28,Clothing,1417,NetBanking,West
5029,2026,2024-01-29,Books,1740,UPI,North
5030,2037,2024-01-30,Electronics,3436,UPI,South
5031,2026,2024-01-31,Clothing,2586,NetBanking,North
5032,2023,2024-02-01,Clothing,3919,UPI,West
5033,2009,2024-02-02,Clothing,1588,Card,East
5034,2012,2024-02-03,Clothing,2056,UPI,West
5035,2001,2024-02-04,Clothing,1565,Card,South
5036,2001,2024-02-05,Home,699,NetBanking,East
5037,2047,2024-02-06,Electronics,1880,UPI,South
5038,2034,2024-02-07,Home,710,NetBanking,East
5039,2032,2024-02-08,Books,4512,UPI,North
5040,2048,2024-02-09,Clothing,1524,Card,North
5041,2025,2024-02-10,Electronics,1355,NetBanking,North
5042,2040,2024-02-11,Clothing,2027,UPI,West
5043,2045,2024-02-12,Electronics,3341,Card,South
5044,2001,2024-02-13,Home,3686,NetBanking,West
5045,2016,2024-02-14,Electronics,2010,NetBanking,North
5046,2039,2024-02-15,Books,3123,UPI,South
5047,2005,2024-02-16,Books,2414,UPI,North
5048,2022,2024-02-17,Electronics,4386,UPI,West
5049,2029,2024-02-18,Electronics,913,Card,West
5050,2003,2024-02-19,Electronics,3802,UPI,West
5051,2012,2024-02-20,Electronics,4334,NetBanking,North
5052,2026,2024-02-21,Books,3722,NetBanking,South
5053,2016,2024-02-22,Clothing,4468,UPI,South
5054,2037,2024-02-23,Electronics,4948,UPI,North
5055,2022,2024-02-24,Electronics,1443,NetBanking,South
5056,2029,2024-02-25,Books,3909,Card,North
5057,2014,2024-02-26,Books,1281,UPI,South
5058,2028,2024-02-27,Home,655,UPI,East
5059,2005,2024-02-28,Electronics,1094,NetBanking,East
5060,2047,2024-02-29,Home,1584,UPI,West
5061,2049,2024-03-01,Books,2158,Card,East
5062,2030,2024-03-02,Books,3272,NetBanking,East
5063,2046,2024-03-03,Clothing,2196,UPI,East
5064,2005,2024-03-04,Electronics,4485,NetBanking,North
5065,2012,2024-03-05,Home,704,UPI,East
5066,2016,2024-03-06,Books,1414,UPI,East
5067,2026,2024-03-07,Books,1731,UPI,West
5068,2026,2024-03-08,Home,3640,Card,East
5069,2048,2024-03-09,Clothing,1023,Card,East
5070,2021,2024-03-10,Books,1128,NetBanking,South
5071,2039,2024-03-11,Electronics,333,UPI,West
5072,2036,2024-03-12,Books,2305,UPI,West
5073,2033,2024-03-13,Electronics,3827,Card,West
5074,2030,2024-03-14,Home,4980,UPI,West
5075,2037,2024-03-15,Electronics,2052,Card,West
5076,2023,2024-03-16,Home,4375,UPI,West
5077,2010,2024-03-17,Electronics,3133,NetBanking,North
5078,2005,2024-03-18,Home,3484,UPI,East
5079,2036,2024-03-19,Electronics,4498,UPI,West
5080,2034,2024-03-20,Clothing,3011,Card,East
5081,2031,2024-03-21,Electronics,1450,UPI,East
5082,2010,2024-03-22,Electronics,3712,UPI,North
5083,2019,2024-03-23,Clothing,1456,Card,West
5084,2032,2024-03-24,Books,3576,NetBanking,South
5085,2001,2024-03-25,Books,3686,NetBanking,North
5086,2005,2024-03-26,Electronics,3784,Card,South
5087,2045,2024-03-27,Clothing,1596,Card,East
5088,2004,2024-03-28,Electronics,3837,Card,East
5089,2016,2024-03-29,Home,3530,Card,North
5090,2024,2024-03-30,Home,2903,Card,North
5091,2016,2024-03-31,Electronics,670,NetBanking,South
5092,2002,2024-04-01,Books,1553,NetBanking,West
5093,2049,2024-04-02,Books,2983,Card,South
5094,2028,2024-04-03,Electronics,3031,UPI,North
5095,2032,2024-04-04,Electronics,557,Card,South
5096,2027,2024-04-05,Home,3219,UPI,North
5097,2020,2024-04-06,Books,867,Card,South
5098,2024,2024-04-07,Electronics,4668,Card,North
5099,2012,2024-04-08,Home,1345,NetBanking,North
5100,2035,2024-04-09,Books,4385,UPI,North
